run,claim,reference_counts,reported_counts,reference_status,reported_status,mean_probability,mean_individual_entropy,between_participant_dispersion,coding
attendance/ablation/remove-provenance,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-provenance,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-provenance,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-provenance,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-reconsideration,1,"[4, 1, 3]","[4, 1, 3]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-reconsideration,2,"[3, 2, 3]","[3, 2, 3]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-reconsideration,3,"[4, 0, 4]","[4, 0, 4]",insufficient evidence,insufficient evidence,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-reconsideration,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words250,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words250,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words250,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words250,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words500,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words500,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words500,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words500,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words1000,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words1000,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words1000,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n8-words1000,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n32-words500,1,"[28, 0, 4]","[28, 0, 4]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n32-words500,2,"[4, 28, 0]","[4, 28, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n32-words500,3,"[4, 0, 28]","[4, 0, 28]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n32-words500,4,"[16, 16, 0]","[16, 16, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n64-words500,1,"[56, 0, 8]","[56, 0, 8]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n64-words500,2,"[8, 56, 0]","[8, 56, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n64-words500,3,"[8, 0, 56]","[8, 0, 56]",insufficient evidence,insufficient evidence,0.5249999999999999,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/core/n64-words500,4,"[32, 32, 0]","[32, 32, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/feedback,1,"[4, 2, 2]","[4, 2, 2]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/feedback,2,"[3, 2, 3]","[3, 2, 3]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/feedback,3,"[3, 0, 5]","[3, 0, 5]",insufficient evidence,insufficient evidence,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/feedback,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/final-synthesis,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/final-synthesis,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/final-synthesis,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/stage/final-synthesis,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/reverse-order,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/reverse-order,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/reverse-order,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/reverse-order,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/paraphrase,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/paraphrase,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/paraphrase,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/paraphrase,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/verbosity,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/verbosity,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/verbosity,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/verbosity,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/prestige-labels,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/prestige-labels,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/prestige-labels,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/prestige-labels,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/repeat-statement,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/repeat-statement,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/repeat-statement,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/repeat-statement,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/shared-source-supporters,1,"[9, 0, 1]","[9, 0, 1]",support consensus,support consensus,0.8099999999999999,0.6415291928135325,0.059942267070365096,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/shared-source-supporters,2,"[1, 7, 2]","[1, 7, 2]",mixed,mixed,0.3,0.755909647290128,0.1253812519405647,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/shared-source-supporters,3,"[1, 0, 9]","[1, 0, 9]",insufficient evidence,insufficient evidence,0.52,0.9678427597317647,0.03100277626343706,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/shared-source-supporters,4,"[4, 4, 2]","[4, 4, 2]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/new-contradictory-evidence,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/new-contradictory-evidence,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/new-contradictory-evidence,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/new-contradictory-evidence,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/remove-observation,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/remove-observation,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/remove-observation,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/perturbation/remove-observation,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-qualification,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-qualification,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,0.25,0.69488705911266,0.11639106534647281,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-qualification,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.525,0.9598034496647059,0.038392429378104165,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-qualification,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-probabilities,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-probabilities,2,"[1, 7, 0]","[1, 7, 0]",opposition consensus,opposition consensus,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-probabilities,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-probabilities,4,"[4, 4, 0]","[4, 4, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
health/ablation/remove-provenance,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.8125,0.6214294672950751,0.07478279283007072,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
