scenario,form_id,arm,round,participant,claim,claim_text,kind,vote,correct,reason
attendance,23,feedback,2,P05,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P05,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers.
attendance,23,feedback,2,P06,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P06,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,2,P06,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P06,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,23,feedback,2,P07,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P07,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P07,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P07,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers.
attendance,23,feedback,2,P08,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P08,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P08,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P08,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,23,feedback,3,P01,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I retain my rating. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P01,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,I retain my rating. The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,3,P01,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,I remain unable to judge; the peer statements do not resolve the evidence gap to my satisfaction.
attendance,23,feedback,3,P01,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P02,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I retain my rating. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P02,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,3,P02,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,The peer discussion gives no measured outcome for this claim. I withdraw my unsupported expectation.
attendance,23,feedback,3,P02,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P03,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P03,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,I remain unable to judge; the peer statements do not resolve the evidence gap to my satisfaction.
attendance,23,feedback,3,P03,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,I remain unable to judge; the peer statements do not resolve the evidence gap to my satisfaction.
attendance,23,feedback,3,P03,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P04,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P04,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,I retain my earlier expectation despite P01’s contrary explanation. I have no new supporting evidence; this remaining belief is not evidence of effectiveness.
attendance,23,feedback,3,P04,3,The alerts improve attainment over two years.,unresolved,Agree,,I retain my earlier expectation despite P01’s contrary explanation. I have no new supporting evidence; this remaining belief is not evidence of effectiveness.
attendance,23,feedback,3,P04,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P05,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I retain my rating. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P05,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,3,P05,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,I remain unable to judge; the peer statements do not resolve the evidence gap to my satisfaction.
attendance,23,feedback,3,P05,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P06,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P06,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,I retain my rating. The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,3,P06,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,The peer discussion gives no measured outcome for this claim. I withdraw my unsupported expectation.
attendance,23,feedback,3,P06,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P07,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,I retain my rating. The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,3,P07,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,3,P07,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,I remain unable to judge; the peer statements do not resolve the evidence gap to my satisfaction.
attendance,23,feedback,3,P07,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers. The other participants prioritise different values; their ratings do not settle this choice.
attendance,23,feedback,3,P08,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,I remain unable to judge; the peer statements do not resolve the evidence gap to my satisfaction.
attendance,23,feedback,3,P08,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,I revise my rating after reading P01’s explanation in the saved feedback. The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,3,P08,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,The peer discussion gives no measured outcome for this claim. I withdraw my unsupported expectation.
attendance,23,feedback,3,P08,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit. The other participants prioritise different values; their ratings do not settle this choice.
attendance,24,no-feedback,2,P01,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,24,no-feedback,2,P01,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,24,no-feedback,2,P01,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P01,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,24,no-feedback,2,P02,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,24,no-feedback,2,P02,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P02,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P02,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,24,no-feedback,2,P03,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P03,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P03,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P03,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers.
attendance,24,no-feedback,2,P04,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Disagree,False,"I doubt this proposition, but I do not have direct data to settle it."
attendance,24,no-feedback,2,P04,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P04,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P04,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,24,no-feedback,2,P05,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,24,no-feedback,2,P05,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P05,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P05,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers.
attendance,24,no-feedback,2,P06,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P06,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,24,no-feedback,2,P06,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P06,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,24,no-feedback,2,P07,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P07,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P07,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P07,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers.
attendance,24,no-feedback,2,P08,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P08,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,24,no-feedback,2,P08,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,24,no-feedback,2,P08,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,24,no-feedback,3,P01,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,"The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P01,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,"The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P01,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P01,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,"Targeting may avoid spending on groups without demonstrated benefit. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P02,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,"The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P02,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P02,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P02,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,"Targeting may avoid spending on groups without demonstrated benefit. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P03,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P03,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P03,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P03,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,"Universal access is fairer and may avoid eligibility barriers. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P04,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Disagree,False,"I doubt this proposition, but I do not have direct data to settle it. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P04,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P04,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P04,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,"Targeting may avoid spending on groups without demonstrated benefit. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P05,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,"The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P05,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P05,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P05,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,"Universal access is fairer and may avoid eligibility barriers. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P06,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P06,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,"The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P06,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P06,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,"Targeting may avoid spending on groups without demonstrated benefit. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P07,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P07,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P07,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P07,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,"Universal access is fairer and may avoid eligibility barriers. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P08,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P08,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,"My packet does not establish this proposition; I need the relevant outcome counts and follow-up. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P08,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data. On reconsideration, my original packet supplies no additional basis for a change."
attendance,24,no-feedback,3,P08,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,"Targeting may avoid spending on groups without demonstrated benefit. On reconsideration, my original packet supplies no additional basis for a change."
health,25,feedback,2,P01,1,Evening invitations increased observed attendance by 10 percentage points in this study.,factual,Agree,True,"H1 reports 90/150 versus 75/150, which is a 10 percentage-point attendance difference."
health,25,feedback,2,P01,2,The evening programme had a lower delivery cost per attendee than the daytime programme.,factual,Disagree,True,"H2 gives 18000/90 = 200, versus 12000/75 = 160 units per attendee."
health,25,feedback,2,P01,3,Evening appointments reduce hospital admissions over the next year.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
health,25,feedback,2,P01,4,The town should fund evening access despite its higher delivery cost per attendee.,normative,Agree,,Flexible access deserves funding even when delivery is more expensive.
health,25,feedback,2,P02,1,Evening invitations increased observed attendance by 10 percentage points in this study.,factual,Agree,True,"H1 reports 90/150 versus 75/150, which is a 10 percentage-point attendance difference."
health,25,feedback,2,P02,2,The evening programme had a lower delivery cost per attendee than the daytime programme.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
health,25,feedback,2,P02,3,Evening appointments reduce hospital admissions over the next year.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
health,25,feedback,2,P02,4,The town should fund evening access despite its higher delivery cost per attendee.,normative,Disagree,,A fixed budget should prioritise the lower-cost service until health benefits are known.
health,25,feedback,2,P03,1,Evening invitations increased observed attendance by 10 percentage points in this study.,factual,Disagree,False,"I doubt this proposition, but I do not have direct data to settle it."
health,25,feedback,2,P03,2,The evening programme had a lower delivery cost per attendee than the daytime programme.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
health,25,feedback,2,P03,3,Evening appointments reduce hospital admissions over the next year.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
health,25,feedback,2,P03,4,The town should fund evening access despite its higher delivery cost per attendee.,normative,Agree,,Flexible access deserves funding even when delivery is more expensive.
health,25,feedback,2,P04,1,Evening invitations increased observed attendance by 10 percentage points in this study.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
health,25,feedback,2,P04,2,The evening programme had a lower delivery cost per attendee than the daytime programme.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
health,25,feedback,2,P04,3,Evening appointments reduce hospital admissions over the next year.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
health,25,feedback,2,P04,4,The town should fund evening access despite its higher delivery cost per attendee.,normative,Disagree,,A fixed budget should prioritise the lower-cost service until health benefits are known.
health,25,feedback,2,P05,1,Evening invitations increased observed attendance by 10 percentage points in this study.,factual,Agree,True,"H1 reports 90/150 versus 75/150, which is a 10 percentage-point attendance difference."
health,25,feedback,2,P05,2,The evening programme had a lower delivery cost per attendee than the daytime programme.,factual,Disagree,True,"I doubt this proposition, but I do not have direct data to settle it."
health,25,feedback,2,P05,3,Evening appointments reduce hospital admissions over the next year.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
health,25,feedback,2,P05,4,The town should fund evening access despite its higher delivery cost per attendee.,normative,Agree,,Flexible access deserves funding even when delivery is more expensive.
